city,listing_type,total_listings,ttm_revenue_mean,ttm_revenue_median,ttm_revenue_sum,ttm_occupancy_mean,bedrooms_mean,amenity_count_mean
Aarhus,Entire cabin,3,14286.666666666666,7320.0,42860.0,0.243,2.0,36.333333333333336
Aarhus,Entire condo,41,19924.19512195122,17444.0,816892.0,0.38041463414634147,1.5609756097560976,38.26829268292683
Aarhus,Entire cottage,1,21922.0,21922.0,21922.0,0.381,2.0,57.0
Aarhus,Entire guest suite,4,14764.75,15956.5,59059.0,0.57375,1.0,35.75
Aarhus,Entire guesthouse,4,10638.0,8040.0,42552.0,0.29725,1.0,37.75
Aarhus,Entire home,54,14085.37037037037,10499.0,760610.0,0.19812962962962963,3.185185185185185,37.51851851851852
Aarhus,Entire loft,3,14781.333333333334,17037.0,44344.0,0.26766666666666666,1.6666666666666667,48.0
Aarhus,Entire place,1,38016.0,38016.0,38016.0,0.663,1.0,68.0
Aarhus,Entire rental unit,92,16006.945652173914,14053.0,1472639.0,0.3202391304347826,1.7717391304347827,31.065217391304348
Aarhus,Entire serviced apartment,2,9845.5,9845.5,19691.0,0.2465,1.5,17.5
Aarhus,Entire townhouse,10,15943.3,16963.5,159433.0,0.2581,2.6,38.1
Aarhus,Entire villa,18,14819.888888888889,11991.0,266758.0,0.18483333333333332,3.6666666666666665,37.77777777777778
Aarhus,Private room in bed and breakfast,2,9732.0,9732.0,19464.0,0.4165,1.0,28.5
Aarhus,Private room in condo,4,5295.0,4824.5,21180.0,0.29475,0.25,21.75
Aarhus,Private room in home,24,7088.583333333333,7416.0,170126.0,0.34108333333333335,0.4583333333333333,27.625
Aarhus,Private room in loft,1,15616.0,15616.0,15616.0,0.447,2.0,10.0
Aarhus,Private room in rental unit,17,7800.0,7658.0,132600.0,0.39164705882352946,0.058823529411764705,28.88235294117647
Aarhus,Private room in townhouse,3,5727.666666666667,6097.0,17183.0,0.32233333333333336,0.0,21.333333333333332
Aarhus,Private room in villa,14,9006.357142857143,7321.0,126089.0,0.33714285714285713,0.14285714285714285,31.214285714285715
Aarhus,Tiny home,2,16985.0,16985.0,33970.0,0.5095000000000001,1.0,41.5
Adeje,Entire bungalow,10,21601.6,11978.0,216016.0,0.41500000000000004,1.8,28.4
Adeje,Entire cabin,1,27424.0,27424.0,27424.0,0.956,1.0,59.0
Adeje,Entire condo,50,21055.4,17056.0,1052770.0,0.39826,1.58,40.78
Adeje,Entire cottage,4,40822.25,5503.5,163289.0,0.26025,2.5,37.0
Adeje,Entire guesthouse,2,11803.5,11803.5,23607.0,0.34400000000000003,0.5,55.0
Adeje,Entire home,22,39134.454545454544,15632.5,860958.0,0.27049999999999996,2.0,37.68181818181818
Adeje,Entire loft,2,18884.0,18884.0,37768.0,0.5125,0.5,53.0
Adeje,Entire rental unit,150,18522.546666666665,13917.5,2778382.0,0.3883933333333333,1.26,33.75333333333333
Adeje,Entire serviced apartment,7,26444.428571428572,26668.0,185111.0,0.4877142857142857,1.4285714285714286,38.57142857142857
Adeje,Entire townhouse,20,28722.9,24899.0,574458.0,0.3771,2.8,45.85
Adeje,Entire villa,22,59712.318181818184,34661.5,1313671.0,0.31877272727272726,3.772727272727273,39.0
Adeje,Private room in chalet,1,1144.0,1144.0,1144.0,0.033,1.0,37.0
Adeje,Private room in condo,1,2912.0,2912.0,2912.0,0.058,2.0,30.0
Adeje,Private room in home,3,2901.3333333333335,2774.0,8704.0,0.17366666666666666,1.3333333333333333,26.0
Adeje,Private room in hostel,2,3222.0,3222.0,6444.0,0.126,1.0,35.5
Adeje,Private room in rental unit,1,4896.0,4896.0,4896.0,0.37,2.0,25.0
Adeje,Shared room in hostel,1,1196.0,1196.0,1196.0,0.101,0.0,43.0
Agde,Camper/RV,1,4293.0,4293.0,4293.0,0.205,1.0,38.0
Agde,Entire bungalow,3,8764.666666666666,7891.0,26294.0,0.23233333333333336,3.0,33.0
Agde,Entire chalet,4,10657.25,9182.0,42629.0,0.228,1.25,46.0
Agde,Entire condo,69,8408.855072463768,6200.0,580211.0,0.19843478260869565,1.2608695652173914,32.608695652173914
Agde,Entire cottage,1,11947.0,11947.0,11947.0,0.153,2.0,51.0
Agde,Entire guesthouse,1,2939.0,2939.0,2939.0,0.101,1.0,29.0
Agde,Entire home,47,17845.82978723404,13933.0,838754.0,0.25674468085106383,2.702127659574468,38.4468085106383
Agde,Entire loft,5,9859.8,11742.0,49299.0,0.1496,1.6,34.8
Agde,Entire rental unit,119,8147.5210084033615,5858.0,969555.0,0.2004873949579832,1.0672268907563025,31.714285714285715
Agde,Entire townhouse,6,6967.166666666667,6791.5,41803.0,0.14983333333333335,2.6666666666666665,30.0
Agde,Entire vacation home,1,8298.0,8298.0,8298.0,0.356,2.0,16.0
Agde,Entire villa,25,39971.36,28063.0,999284.0,0.33728,3.24,47.52
Agde,Nature lodge,1,3576.0,3576.0,3576.0,0.038,3.0,29.0
Agde,Private room in bed and breakfast,5,8499.2,8000.0,42496.0,0.2138,0.0,43.0
Agde,Private room in bungalow,1,5942.0,5942.0,5942.0,0.307,0.0,27.0
Agde,Private room in castle,1,4564.0,4564.0,4564.0,0.17,0.0,53.0
Agde,Private room in home,4,4740.75,1933.0,18963.0,0.1575,0.5,23.75
Agde,Private room in rental unit,2,3364.0,3364.0,6728.0,0.2615,1.0,12.0
Agde,Private room in villa,1,4380.0,4380.0,4380.0,0.036,4.0,50.0
Agde,Tiny home,1,24626.0,24626.0,24626.0,0.496,1.0,21.0
Aix-en-Provence,Entire condo,11,10332.09090909091,7884.0,113653.0,0.2989090909090909,0.9090909090909091,40.27272727272727
Aix-en-Provence,Entire cottage,2,19413.0,19413.0,38826.0,0.329,1.0,41.5
Aix-en-Provence,Entire guest suite,4,10917.5,11034.0,43670.0,0.31275,1.25,41.0
Aix-en-Provence,Entire guesthouse,6,14285.833333333334,15568.0,85715.0,0.453,1.0,44.166666666666664
Aix-en-Provence,Entire home,50,32858.02,28294.0,1642901.0,0.27162,3.06,47.84
Aix-en-Provence,Entire loft,14,26449.14285714286,17105.0,370288.0,0.3906428571428572,1.5,37.0
Aix-en-Provence,Entire rental unit,157,15916.675159235669,13253.0,2498918.0,0.3593184713375796,1.1719745222929936,35.038216560509554
Aix-en-Provence,Entire serviced apartment,1,2923.0,2923.0,2923.0,0.088,1.0,25.0
Aix-en-Provence,Entire townhouse,3,22074.666666666668,13265.0,66224.0,0.39366666666666666,1.6666666666666667,48.0
Aix-en-Provence,Entire vacation home,1,25662.0,25662.0,25662.0,0.499,1.0,44.0
Aix-en-Provence,Entire villa,18,60413.666666666664,36206.5,1087446.0,0.24283333333333332,4.833333333333333,45.94444444444444
Aix-en-Provence,Private room in bed and breakfast,5,12687.8,13710.0,63439.0,0.5056,0.6,38.0
Aix-en-Provence,Private room in condo,2,8348.0,8348.0,16696.0,0.6,0.0,34.5
Aix-en-Provence,Private room in guest suite,2,10927.0,10927.0,21854.0,0.2955,0.0,40.5
Aix-en-Provence,Private room in home,7,6244.571428571428,4164.0,43712.0,0.2714285714285714,0.5714285714285714,28.0
Aix-en-Provence,Private room in rental unit,12,10012.083333333334,10187.5,120145.0,0.5325,0.25,25.333333333333332
